Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (rad/s),Motor Optical Speed (rad/s),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Vibration (g),App message,
0.47311020000004456,1000,,,,-0.0011328125,0.94810546875,0.01083984375,0.000049419816950727596,-0.006030152929854804,24.915147590637208,0.06567181268706905,0,0,1.6362210556718564,0,0,0,0,0.07453125,,
0.4676102500000491,1200,,,,-0.02720703125,0.994609375,0.00923828125,0.005408025324306754,0.29052168941177403,24.881324214935304,0.7677144574187708,920.80080677016,0,19.101714454543988,0,0,0,0,0.3539453125,,
6.913190200000043,1224.1379310344812,,,,-0.03716796875,0.99666015625,-0.00384765625,0.007088944495860324,0.39080772462732183,24.865947742462158,0.9558288758061839,1058.9261637734398,0,23.76754594170947,0,0,0,0,0.264140625,,
13.345010250000055,1248.2758620689676,,,,-0.0324609375,1.01685546875,0.01376953125,0.00897562737956831,0.5054515758148824,24.84771818161011,1.1941223310492948,1189.4069786529599,0,29.671115105169942,0,0,0,0,0.50716796875,,
19.774100100000048,1272.413793103449,,,,-0.03302734375,0.9955859375,0.00146484375,0.011223530113926763,0.6357415098007501,24.82935760498047,1.4466166388057187,1314.12820700088,0,35.91841302525097,0,0,0,0,0.24037109375,,
26.19430025000006,1296.5517241379284,,,,-0.04810546875,0.99568359375,-0.0080078125,0.013226462701866712,0.7714168144113713,24.812024192810057,1.6671570014022308,1444.8184613906399,0,41.36552384055486,0,0,0,0,0.34896484375,,
32.62688010000007,1320.689655172417,,,,-0.0396875,1.0184375,-0.00431640625,0.015790010123546257,0.9185720991773798,24.789744968414308,1.9348165070079284,1569.33025022832,0,47.96343829929352,0,0,0,0,0.3465625,,
39.07710020000007,1344.8275862068976,,,,-0.03509765625,0.9426953125,0.01658203125,0.018556574970285452,1.0795208802126153,24.763801403045655,2.2662903069518525,1690.3862871470399,0,56.12185800144136,0,0,0,0,0.5409765625,,
45.509730350000055,1368.9655172413782,,,,-0.02830078125,0.98998046875,-0.001328125,0.020935008545121193,1.2611775338831115,24.73541467666626,2.631239849235864,1811.2328845555198,0,65.08461078519485,0,0,0,0,0.255859375,,
51.96663030000006,1393.1034482758585,,,,-0.05150390625,0.98998046875,0.01556640625,0.024682669840761763,1.4314392122442139,24.704824447631836,3.0595805012248474,1921.81694596224,0,75.58600527902966,0,0,0,0,0.46728515625,,
58.44675025000008,1417.241379310347,,,,-0.03720703125,0.9923046875,-0.004921875,0.027137399255660756,1.6180789235278963,24.671884479522706,3.4657694660685974,2042.3493841053598,0,85.50692297686457,0,0,0,0,0.46138671875,,
64.93865015000004,1441.379310344828,,,,-0.0378125,0.99162109375,-0.000703125,0.02883783585413844,1.80819410011797,24.638247890472414,3.882594829704614,2154.92312085936,0,95.66006447840266,0,0,0,0,0.44943359375,,
71.41064030000008,1465.5172413793075,,,,-0.02353515625,0.99705078125,0.006484375,0.03281231062550358,2.044764100597124,24.594350833892822,4.452988716270776,2264.0411056944,0,109.518323740473,0,0,0,0,0.9017578125,,
77.90136040000003,1489.6551724137944,,,,-0.02962890625,1.0059765625,0.007265625,0.03564483359078347,2.2065434633336625,24.550641136169432,4.987974051143976,2362.1635162418397,0,122.45774797915522,0,0,0,0,0.64408203125,,
84.38057010000006,1513.7931034482774,,,,-0.019296875,0.99798828125,0.00068359375,0.03843378558783483,2.4161738491472837,24.506301441192626,5.514939387943594,2463.4275194428797,0,135.15064404882457,0,0,0,0,0.528671875,,
90.85768025000004,1537.9310344827563,,,,-0.034140625,0.9929296875,0.00302734375,0.0424522524624013,2.6162162074464805,24.4531512260437,6.172633875515304,2566.89063750144,0,150.93960744745394,0,0,0,0,0.4604296875,,
97.34473020000009,1562.0689655172437,,,,-0.0409765625,0.9830859375,-0.0015625,0.04583497072711383,2.8730640814926147,24.398068141937255,6.831817644741374,2660.4053788235997,0,166.6826933069247,0,0,0,0,0.39142578125,,
103.79398020000002,1586.206896551722,,,,-0.02220703125,0.9997265625,-0.001484375,0.0483750231862907,3.097790506024747,24.341558036804198,7.524412039425207,2773.92159337368,0,183.15471411387895,0,0,0,0,0.35318359375,,
110.25546005000004,1610.3448275862052,,,,-0.014140625,1.0024609375,-0.00134765625,0.05370538716075278,3.344484518772448,24.27486110687256,8.379197200443576,2854.45108506096,0,203.4035003686219,0,0,0,0,0.29119140625,,
116.74735020000004,1634.4827586206927,,,,-0.0453125,0.92748046875,0.02982421875,0.05590461761481835,3.601903634035551,24.210314445495605,9.092283147480316,2968.49089838664,0,220.12596493004654,0,0,0,0,0.3691015625,,
123.21096030000008,1658.6206896551707,,,,-0.0287890625,0.9994921875,-0.00107421875,0.059804791137533654,3.8278194775196246,24.13952781677246,9.963181575443569,3064.72835334192,0,240.50623131010173,0,0,0,0,0.3934765625,,
129.69915015000004,1682.758620689653,,,,-0.013828125,1.0190625,0.018671875,0.06330669052579081,4.056859303168262,24.06518766403198,10.855959037449184,3149.65607474424,0,261.2493578170726,0,0,0,0,0.6858984375,,
136.18311015000006,1706.896551724142,,,,-0.03140625,1.00322265625,-0.01162109375,0.07137675117155055,4.381041613809273,23.972398300170898,12.060736077930748,3235.4215541875196,0,289.12440758531835,0,0,0,0,0.830078125,,
142.6777902000001,1731.034482758619,,,,-0.02419921875,0.9962890625,-0.05154296875,0.07401713807513234,4.617043617531234,23.89147729873657,13.017340110447225,3322.86254971272,0,311.00330657988565,0,0,0,0,0.83283203125,,
